excel_name,excel_price,closest_deliv,score
طعام مام متوسط 1 كغ,"180,00",طعام مام متوسط,0.75
دهان المرجان 900 غ,"430,00",دهان المرجان,0.67
طعام سيم 1 كغ,"140,00",طعام سيم,0.67
طعام عمور 1 كغ,"150,00",طعام عمور,0.67
بركوكس مفور 800 غ,"110,00",بركوكس مفور,0.67
طعام شعير 1 كغ,"110,00",طعام شعير,0.67
طعام ثيكا 1 كغ,"110,00",طعام ثيكا,0.67
طعام اغروديف 1 كغ,"100,00",طعام اغروديف,0.67
طعام ماما رقيق 1 كغ,"180,00",طعام ماما رقيق,0.75
شخشوخة سنوبر 900 غ,"140,00",شخشوخه سنوبر,0.67
ارز بسمتي روعة 500 غ,"180,00",ارز بسمتي روعه,0.75
ارز بسمتي ذهبي 500 غ,"160,00",ارز بسمتي ذهبي,0.75
محمصة ماما 500 غ,"90,00",محمصه ماما,0.67
تليتلي سباو 500 غ,"60,00",تليتلي سباو,0.67
محمصة سيم 500 غ,"60,00",محمصه سيم,0.67
ماقرون سيم روسول 500 غ,"65,00",ماقرون سيم روسول,0.75
شربة زريعة سيم 500 غ,"60,00",شربه زريعه سيم,0.75
شربة فارميسال سيم 500 غ,"60,00",شربه فارميسال سيم,0.75
ماقرون سيم كود6/ 500 غ,"60,00",ماقرون سيم كود6/,0.75
ماقرون سيم كود 4 500غ,"60,00",ماقرون سيم كود 4,0.75
حمص ثيكا 10 -- 1كغ,"350,00",حمص ثيكا 10 --,0.75
لوبيا كاردينال 1 كغ,"380,00",لوبيا كاردينال,0.67
عدس نون 1 كغ,"125,00",عدس نون,0.67
حمص 12 -- 1كغ,"450,00",حمص 12 --,0.67
ارز مفور روعة 500 غ,"80,00",ارز مفور روعه,0.75
ارز بسمتي كريمي 1 كغ,"230,00",ارز بسمتي كريمي,0.75
ارز مفور روعة 1 كغ,"160,00",ارز مفور روعه,0.75
ارز تايلندي 1 كغ,"170,00",ارز تايلندي,0.67
طراشن وفاء 80 قطعة,"75,00",طراشن وفا ملونه,0.5
طراشن وفاء حجم كبير 45,"180,00",طراشن وفا حجم كبير,0.8
طراشن وفاء ملونة 80 قطعة,"80,00",طراشن وفا ملونه,0.6
كوش بيمبو 15 قطعة,"210,00",كوش بيمبو,0.5
شوفان 400 غ,"250,00",شوفان,0.5
خل التفاح الوزير 250 مل,"280,00",خل التفاح الوزير,0.6
سميد مولى رقيق 1 كغ,"120,00",سميد مولي رقيق,0.75
فرينة سفينة 1كغ,"80,00",فرينه سفينه,0.67
سميد سفينة رقيق 1 كغ,"110,00",سميد سفينه رقيق,0.75
سميد ماما رقيق 2 كغ,"250,00",سميد ماما رقيق,0.75
سميد ماما خشن 2 كغ,"250,00",سميد ماما خشن,0.75
شيكولة مون سوداء 200 غ,"270,00",شيكوله مون سودا,0.75
شيكولة مون بيضة 200 غ,"280,00",شيكوله مون بيضه,0.75
شيكولة مرجان بيضة 200 غ,"340,00",شيكوله مرجان بيضه,0.75
كراميل توفيا 400 غ,"250,00",كراميل توفيا,0.67
شيكولة اوبتيلا 200 غ,"150,00",شيكوله اوبتيلا,0.67
شيكولة اوبتيلا 350 غ,"240,00",شيكوله اوبتيلا,0.67
شيكولة ماكسون 350 غ,"230,00",شيكوله ماكسون,0.67
كابريز سائل 500 غ,"370,00",كابريز سايل,0.67
شيكولة تويسكو 300 غ,"260,00",شيكوله تويسكو,0.67
شيكولة اوبتيلا 700 غ,"440,00",شيكوله اوبتيلا,0.67
شيكولة اوبتيلا 500 غ,"330,00",شيكوله اوبتيلا,0.67
شيكولة بيفا 320 غ,"190,00",شيكوله بيفا,0.67
نورسي كونفور 900غ رقم 2,"1 820,00",نورسي كونفور 900غ رقم,1.0
نورسي كونفور 400غ رقم 1,"860,00",نورسي كونفور 400غ رقم,1.0
نورسي كونفور 400غ  رقم2,"860,00",نورسي كونفور 400غ رقم2,1.0
حليب صحة 400غ رقم 1,"760,00",حليب صحه 400غ رقم,1.0
حليب بيوميل 400غ رقم 2,"870,00",حليب بيوميل 400غ رقم,1.0
حليب نورسي 400غ رقم 2,"780,00",حليب نورسي 400غ رقم,1.0
عسل البركة الاصيل  125غ,"140,00",عسل البركه الاصيل,0.75
كنافة محمصة 250غ,"200,00",كنافه محمصه,0.67
صابون غبرة امو 300 غ,"120,00",صابون غبره امو,0.75
صابون غبرة ازيس 300 غ,"110,00",صابون غبره ازيس,0.75
صابون غبرة تست 750 غ,"250,00",صابون غبره تست,0.75
صابون غبرة تست 1.5 كغ,"460,00",صابون غبره تست,0.75
صابون غبرة ازيس 1.5 كغ,"470,00",صابون غبره ازيس,0.75
صابون اواني لايف 2 لتر,"380,00",صابون اواني لايف,0.75
صابون اواني دوز 1150 مل,"300,00",صابون اواني دوز,0.6
صابون غسالة بريلكس 1.5 لتر,"280,00",صابون غساله بريلكس,0.75
جافيل دوز 2 لتر,"170,00",جافيل دوز,0.67
صابون غسالة بينغو 2.5 لتر,"790,00",صابون غساله بينغو,0.75
صابون اواني بريل 3 لتر,"630,00",صابون اواني بريل,0.75
صابون غسالة لو شا 2.5 لتر,"790,00",صابون غساله لو شا,0.8
هابي دراي  5/25,"640,00",هابي دراي كيلوت 4/25,1.0
هابي راحة 4 / 25,"470,00",هابي راحه 6/25,1.0
صابون غسالة لايف 3 لتر,"520,00",صابون غساله لايف,0.75
صابون اواني lisser clean 5 لتر,"600,00",صابون اواني lisser clean,0.8
صابون غسالة توبسيل 2.5 لتر,"470,00",صابون غساله توبسيل,0.75
صابون غسالة بريلكس 3 لتر,"480,00",صابون غساله بريلكس,0.75
صابون اواني لايف  4 لتر,"750,00",صابون اواني لايف,0.75
مون بيسكويت  تيمو,"110,00",مون بيسكويت تيمو,1.0
قاطو ماكس كرام  بيفا,"110,00",قاطو ماكس كرام بيفا,1.0
زيت دار ضياف 0.5 لتر,"780,00",زيت دار ضياف,0.75
زيت ااوليفا 250غ,"120,00",زيت ااوليفا,0.67
زيت دار ضياف 250غ,"350,00",زيت دار ضياف,0.75
غلاف شفاف  وفاء 10متر,"100,00",غلاف شفاف وفا 10متر,1.0
كوش بمبيز حجم صغير 2,"260,00",كوش بمبيز حجم صغير,1.0
كوش بمبيز حجم صغير 3,"260,00",كوش بمبيز حجم صغير,1.0
كوش بميز حجم صغير 5,"260,00",كوش بميز حجم صغير,1.0
كوش بمبيز حجم صغير 6,"330,00",كوش بمبيز حجم صغير,1.0
كوش كومبيي حجم صغير 5,"250,00",كوش كومبيي حجم صغير,1.0
كونبيبي حجم صغير رقم 4,"250,00",كونبيبي حجم صغير رقم,1.0
كونبيبي حجم صغير رقم 3,"250,00",كونبيبي حجم صغير رقم,1.0
كونبيبي حجم صغير رقم 2,"250,00",كونبيبي حجم صغير رقم,1.0
كونبيبي حجم صغير رقم 1,"250,00",كونبيبي حجم صغير رقم,1.0
كونبيبي حجم صغير رقم 6,"330,00",كونبيبي حجم صغير رقم,1.0
لانجات وفاء مغطى 80 قطعة,"160,00",لانجات وفا مغطي,0.6
لانجات وفاء 72 قطعة,"120,00",لانجات وفا,0.5
لانجات بيمبيز 84 قطعة,"150,00",لانجات بيمبيز صفرا,0.5
لانجات بيمبيز صفراء 60قطعة,"180,00",لانجات بيمبيز صفرا,0.75
لانجات بيبي ماكس 72قطعة,"100,00",لانجات بيبي ماكس,0.75
لانجات 120 قطعة,"180,00",صحن بلاستيك قطعه,0.33
منظف زجاج بريلكس 750مل,"160,00",منظف زجاج بريلكس ابيض,0.75
سائل اواني اقل 650مل,"190,00",سايل اواني اقل,0.75
سائل اواني بينقو 650مل,"200,00",سايل اواني بينقو,0.75
صانيبو امير لافصول 1لتر,"190,00",صانيبو امير لافصول,0.75
صانيبو وايف  1لتر,"180,00",صانيبو وايف,0.67
صانيبو بريلكس لافصول 1لتر,"175,00",صانيبو بريلكس لافصول,0.75
صابون غسيل الملابس ايقل 1كغ,"280,00",صابون غسيل الملابس ايقل,0.8
صابون غسيل الملابس ايقل 750غ,"220,00",صابون غسيل الملابس ايقل,0.8
صابون ايزيس 750غ,"240,00",صابون ايزيس,0.67
جافيل براف 900مل,"100,00",جافيل براف,0.67
جافيل ايقل 900مل,"100,00",جافيل ايقل,0.67
طرف صاشي  عادي,"80,00",طرف صاشي عادي,1.0
جافيل ليسر كليسن 2ل,"150,00",جافيل ليسر كليسن,0.75
صابون ملابس 1كلغ  اقل,"340,00",صابون ملابس 1كلغ اقل,1.0
معطر الملابس بريلكس 1.2ل,"300,00",معطر الملابس بريلكس,0.75
سائل اواني بريل 1.25ل,"330,00",سايل اواني بريل,0.75
سائل اواني لايف 1.25ل,"260,00",سايل اواني لايف,0.75
سائل اواني توبسيل 1.25ل,"220,00",سايل اواني توبسيل,0.75
سائل اواني بريلكس 1.25ل,"220,00",سايل اواني بريلكس,0.75
سائل اواني بريل 650مل,"200,00",سايل اواني بريل,0.75
سائل اواني تست 650مل,"175,00",سايل اواني تست,0.75
سائل اواني لايف 650مل,"180,00",سايل اواني لايف,0.75
سائل اواني توبسيل 650مل,"180,00",سايل اواني توبسيل,0.75
صانيبو كلور وكسبور 1ل,"150,00",صانيبو كلور وكسبور,0.75
صانيبو بريلكس 1ل,"110,00",صانيبو بريلكس,0.67
صانيبو توب 1ل,"110,00",صانيبو توب,0.67
صابون تست 850غ,"240,00",صابون تست,0.67
صابون بينقو 750غ,"260,00",صابون بينقو,0.67
صابون بينقو 300غ,"140,00",صابون بينقو,0.67
جافيل تست 2 لتر,"150,00",جافيل تست,0.67
جال جافيل بريلكس 2لتر,"190,00",جال جافيل بريلكس,0.75
مايونيز نابوليتاني 900غ,"240,00",مايونيز نابوليتاني,0.67
مايونيز ستار  بلاستيك,"280,00",مايونيز ستار بلاستيك,1.0
مايونيز فلوريال بلاستيك 200غ,"160,00",مايونيز فلوريال بلاستيك,0.75
مايونيز زجاج فلوريال 200غ,"160,00",مايونيز زجاج فلوريال,0.75
مايونيز موندور 400غ,"280,00",مايونيز موندور,0.67
حمص بنارة 360غ,"150,00",حمص بناره صغيره,0.67
كوفيتر عمر بن عمر 800غ,"330,00",كوفيتر عمر بن عمر,0.75
كوفيتر عمر بن عمر 400غ,"170,00",كوفيتر عمر بن عمر,0.75
مرغرين ماني 250غ,"110,00",مرغرين ماني,0.67
مرغرين ماني 500غ,"185,00",مرغرين ماني,0.67
مرغرين لا بل 250غ,"110,00",مرغرين لا بل,0.75
مرغرين لابل 500غ,"185,00",مرغرين لابل,0.67
مرغرين صول 250غ,"110,00",مرغرين صول,0.67
مرغرين صول 500غ,"185,00",مرغرين صول,0.67
مرغرين ديما 250غ,"110,00",مرغرين ديما,0.67
مرغرين ديما 500غ,"185,00",مرغرين ديما,0.67
فرينة سيم 1كغ,"90,00",فرينه سيم,0.67
سميد ماما 1كغ,"130,00",سميد ماما,0.67
سميد مولا 1كغ,"130,00",سميد مولا,0.67
سميد لار 1 كغ,"120,00",سميد لار,0.67
كريم شونتي 200غ,"200,00",كريم شونتي,0.67
عسل 500غ,"110,00",رامي عسل 24سل,0.5
عسل 1كغ,"190,00",جلبانه 1كغ الاتحاد الاوروبي,0.5
حمص مرحي التناج 400غ,"140,00",حمص مرحي التناج,0.75
سكر قلاصي 700غ,"135,00",سكر قلاصي,0.67
كونفوتير سيكام 400غ,"140,00",كونفوتير سيكام,0.67
كونفيتير سيكام 800غ,"260,00",كونفيتير سيكام فراوله,0.67
كونفيتير سيم 800غ,"260,00",كونفيتير سيم,0.67
كونفيتير سيكام فراولة 400غ,"160,00",كونفيتير سيكام فراوله,0.75
كونفيتير ازدهار 450غ,"160,00",كونفيتير ازدهار,0.67
كونفيتير عمور 400غ,"160,00",كونفيتير عمور,0.67
كونفيتير لاتينا 400غ,"130,00",كونفيتير لاتينا,0.67
