excel_name,excel_price,closest_deliv,score
شوكولاطة اومباسادور  بلحليب,"220,00",شوكولاطه اومباسادور بلحليب,1.0
شوكولاطة اومباسادور سوداء 70,"250,00",شوكولاطه اومباسادور سودا,0.75
حليب كانديا 0.5,"80,00",حليب كانديا,1.0
فرماج شيزي 8,"110,00",فرماج شيزي,1.0
فرماج موندور 1.7,"710,00",فرماج موندور,1.0
تست 300غ,"110,00",تست,0.5
ارز مفور عادي  ميزان,"140,00",ارز مفور عادي ميزان,1.0
صابون سائل دوز 5لتر,"990,00",صابون سايل دوز,0.75
داناو 1ل,"200,00",داناو,0.5
فيتامين 2 لتر,"80,00",افري1 لتر,0.5
فيتامين حجم 3 لتر,"130,00",فيتامين حجم,0.67
جافيل اقل 5لتر,"250,00",جافيل اقل,0.67
صومام جنينية 1 لتر,"165,00",صومام جنينيه,0.67
فلفل مرقد 100غ,"60,00",فلفل مرقد,0.67
صابون ليسر 10 لتر,"1 050,00",صابون ليسر,0.5
شربات فيتامين 1 لتر,"65,00",شربات فيتامين,0.67
سائل اواني اقل 430غ,"130,00",سايل اواني اقل,0.75
جلبانة 400غ,"260,00",جلبانه,0.5
كامبير سيدي سعادة 250غ,"420,00",كامبير سيدي سعاده,0.75
صومام شكولا 1 لتر,"220,00",صومام شكولا,0.67
ياغورت سيدي سعادة فرويتي 1لتر,"165,00",ياغورت سيدي سعاده فرويتي,0.8
صابون توبسيل 10ل,"1 250,00",صابون توبسيل,0.67
توبسيل اواني 4ل,"750,00",توبسيل اواني,0.67
توبسيل اواني 2ل,"380,00",توبسيل اواني,0.67
سكريا 600غ,"190,00",سكريا,0.5
فرينة الدرة  800غ,"210,00",فرينه الدره,0.67
مقرون بدون غلوتين 300غ,"210,00",مقرون بدون غلوتين,0.75
كسكس الهضاب بدون غلوتين 300غ,"210,00",كسكس الهضاب بدون غلوتين,0.8
فرينة بدون غلوتين 3كغ,"950,00",فرينه بدون غلوتين,0.75
فرماج بيكو 16 قطعة,"145,00",فرماج بيكو,0.5
لامبة لاد 15,"180,00",لامبه لاد,0.67
لامبة لاد 18,"220,00",لامبه لاد,0.67
لامبة لاد 12,"160,00",لامبه لاد,0.67
لاد 22,"300,00",لاد,0.5
زعيم 2 لتر,"100,00",زعيم لتر,1.0
شريعة 1 لتر,"65,00",افري1 لتر,0.5
صابون بينغو 1.5كغ,"510,00",صابون بينغو,0.67
جافيل رغوي 1 لتر,"110,00",جافيل رغوي,0.67
قازوز معلم 2ل,"100,00",قازوز معلم,0.67
ريحة تاع  شنابر 750 مل,"280,00",ريحه تاع شنابر,0.6
طراشن كوتكس 80 قطعة,"85,00",طراشن كوتكس,0.5
كوش  يوني -فورم,"880,00",كوش يوني -فورم,1.0
تيب توب 16,"270,00",تيب توب,0.67
صابون لايف 10 لتر,"1 270,00",صابون لايف,0.5
ماء منصورة 6 لتر,"100,00",ما منصوره,0.67
منصورة 1.5 لتر,"40,00",افري1 لتر,0.5
اروى كولا 2 لتر,"100,00",اروي كولا لتر,1.0
جي رويبة 33,"50,00",جي رويبه,0.67
جي ذطازج 33,"50,00",جي ذطازج,0.67
فرماج ريكو 24 قطعة,"225,00",فرماج ريكو,0.5
فرماج المتميز 16 قطعة,"185,00",فرماج المتميز,0.5
ساىل اواني 3 لتر,"350,00",سايل اواني,0.67
اكريم  395غ,"130,00",اكريم فاميلي,0.5
درسة    حميس,"110,00",درسه حميس,1.0
فرماج موندور 500غ,"300,00",فرماج موندور,0.67
طارتينو 8,"150,00",طارتينو,1.0
جي دايلي 1لتر,"90,00",جي دايلي,0.67
زيتون 1كغ,"370,00",زيتون,0.5
تيب توب 8,"150,00",تيب توب,1.0
تيب توب  32,"395,00",تيب توب,0.67
اولاف 200غ,"120,00",اولاف,0.5
فرونسلي كونفور 2,"1 000,00",فرونسلي كونفور,1.0
