"our_id","our_name","old_image","action"
"6a7b92cd0d97848094f62d82","قازوز حمود","https://api.delivap.com/uploads/1786563631705-4143a5e2-a018-44af-aa70-45ff653e97f7.webp","UPDATED"
"6a7b92cd0d97848094f62d7a","نابولي","https://api.delivap.com/uploads/1786563638507-08021736-9b77-468a-8e90-6a4b456fb624.webp","UPDATED"
"6a7b92cd0d97848094f62d69","عصير رامي كرطونة","https://api.delivap.com/uploads/1786563641669-48836bce-4d93-46e4-b232-622053060464.webp","UPDATED"
"6a7b92cd0d97848094f62d68","رامي ميلكي كرطونة","https://api.delivap.com/uploads/1786563644047-0def0607-aa67-4cdb-ac0c-99bf12d02f59.webp","UPDATED"
"6a7b92cd0d97848094f62d61","موندور","https://api.delivap.com/uploads/1786563648870-45108628-8437-4659-8c76-3412639ca70f.webp","UPDATED"
"6a7b92cd0d97848094f62d5f","زبدة ستار","https://api.delivap.com/uploads/1786563650859-64f75986-25dc-497a-8f9d-8ffb7f777499.webp","UPDATED"
"6a7b92cd0d97848094f62d5e","مرغرين فلوريال","https://api.delivap.com/uploads/1786563655300-f450d66a-8766-4d8f-b11d-23dcb48844ea.webp","UPDATED"
"6a7b92cd0d97848094f62d46","حمص مرحي التناج","https://api.delivap.com/uploads/1786563659269-34aaac0b-98c0-4d26-834d-4d756a50418a.webp","UPDATED"
"6a7b92cd0d97848094f62d45","عسل","https://api.delivap.com/uploads/1786563663852-cf35c8aa-4eac-4c05-8d27-bfb82bf18d75.webp","UPDATED"
"6a7b92cd0d97848094f62d44","عسل","https://api.delivap.com/uploads/1786563667505-fb82e486-c83f-481c-b33b-347988df7120.webp","UPDATED"
"6a7b92cd0d97848094f62d3c","سميد ماما","https://api.delivap.com/uploads/1786563669078-af9dabe7-4008-48a1-b0de-8325d496739b.webp","UPDATED"
"6a7b92cd0d97848094f62d3b","فرينة سيم","https://api.delivap.com/uploads/1786563672054-9236dd3e-2e1c-49e3-abc9-b841ce1da6f8.webp","UPDATED"
"6a7b92cd0d97848094f62d38","مرغرين ديما","https://api.delivap.com/uploads/1786563675074-7524c165-0f65-4321-8827-3d6282feb63c.webp","UPDATED"
"6a7b92cd0d97848094f62d36","مرغرين صول","https://api.delivap.com/uploads/1786563676672-07b68783-467c-410a-a238-7038dacab3e7.webp","UPDATED"
"6a7b92cd0d97848094f62d2c","مايونيز زجاج فلوريال","https://api.delivap.com/uploads/1786563679043-c3289535-69eb-4396-a485-9b9fd18b8e2a.webp","UPDATED"
"6a7b92cd0d97848094f62d2b","مايونيز فلوريال بلاستيك","https://api.delivap.com/uploads/1786563681579-5a04147f-8909-4c9a-aa40-10688a58d0ba.webp","UPDATED"
"6a7b92cd0d97848094f62d28","جال جافيل بريلكس","","UPDATED"
"6a7b92cd0d97848094f62d21","صانيبو بريلكس","","UPDATED"
"6a7b92cd0d97848094f62d20","صانيبو امير عادي1ل","","UPDATED"
"6a7b92cd0d97848094f62d1d","سائل اواني لايف","","UPDATED"
"6a7b92cd0d97848094f62d1b","سائل اواني بريل","","UPDATED"
"6a7b92cd0d97848094f62d18","سائل اواني لايف","","UPDATED"
"6a7b92cd0d97848094f62d16","معطر الملابس بريلكس","https://api.delivap.com/uploads/1786563683098-e0c72042-7e43-402c-bc82-1d5df063e450.webp","UPDATED"
"6a7b92cd0d97848094f62d0d","صابون ايزيس","","UPDATED"
"6a7b92cd0d97848094f62d09","صانيبو بريلكس لافصول","","UPDATED"
"6a7b92cd0d97848094f62d06","صانيبو امير لافصول","","UPDATED"
"6a7b92cd0d97848094f62d04","سائل اواني اقل","","UPDATED"
"6a7b92cd0d97848094f62cff","منظف زجاج بريلكس","","UPDATED"
"6a7b92cd0d97848094f62c6b","سميد ماما خشن","https://api.delivap.com/uploads/1786563687157-f82f8420-47f7-4d69-a96b-ce0e7ed176be.webp","UPDATED"
"6a7b92cd0d97848094f62c6a","سميد ماما رقيق","https://api.delivap.com/uploads/1786563688819-d71f6536-2112-4b32-9dce-152c16d6846b.webp","UPDATED"
"6a7b92cd0d97848094f62c69","سميد سفينة رقيق","https://api.delivap.com/uploads/1786563690881-c985b6fd-0926-4c94-b1c9-de37299e07f5.webp","UPDATED"
"6a7b92cd0d97848094f62c68","فرينة سفينة","https://api.delivap.com/uploads/1786563693598-8b56fafa-bf75-4ff7-9aa1-64ef3a5a88ce.webp","UPDATED"
"6a7b92cd0d97848094f62c67","سميد مولى رقيق","https://api.delivap.com/uploads/1786563695256-cf25b1f3-f7aa-4ae7-a113-4c689428cdb0.webp","UPDATED"
"6a7b92cd0d97848094f62c5b","ارز مفور روعة","https://api.delivap.com/uploads/1786563696918-a4c8f8cd-677a-4312-8c95-f5ac45dece75.webp","UPDATED"
"6a7b92cd0d97848094f62c5a","ارز بسمتي كريمي","https://api.delivap.com/uploads/1786563699235-4d2ccdb6-0edc-4a30-9c16-848572b6913e.webp","UPDATED"
"6a7b92cd0d97848094f62c59","ارز مفور روعة","https://api.delivap.com/uploads/1786563701004-e0d7903f-d4e6-4552-a397-128b6a38b764.webp","UPDATED"
"6a7b92cd0d97848094f62c54","ماقرون سيم كود 4","https://api.delivap.com/uploads/1786563709896-5cd20d9a-55e5-47ff-b7f4-12eb6f6c97ee.webp","UPDATED"
"6a7b92cd0d97848094f62c4f","محمصة سيم","https://api.delivap.com/uploads/1786563713353-f1caeded-0ab5-401b-9417-c23fd516eaad.webp","UPDATED"
"6a7b92cd0d97848094f62c4d","محمصة ماما","https://api.delivap.com/uploads/1786563715645-73c0e35c-d326-4da1-8532-b73cd82fa405.webp","UPDATED"
"6a7b92cd0d97848094f62c4c","ارز بسمتي ذهبي","https://api.delivap.com/uploads/1786563719977-91edaa2e-ceff-4df0-8f8c-f101219e9c6a.webp","UPDATED"
