our_id,our_name,our_price,our_capacite,our_size,taiba_id,taiba_name,taiba_price,taiba_size,name_score,coverage,fuzzy,size_match,confidence,flag,image_url,image_transparent,action,old_image,new_image,error
6a7b92cd0d97848094f62c06,هريسة هروس 135 غ,"80,00",,135g,44896,Cara Harissa 135 G,8000,135g,0.667,0.667,0.297,True,HIGH,,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2025/05/Remove-bg.ai_1748510487469.png?fit=964%2C1280&ssl=1,True,WOULD_APPLY,,,
6a7b92cd0d97848094f62c05,حليب ميلكوسبراي 500 غ,"435,00",,500g,6272, Milkospray Lait 500 G,42500,500g,1.0,1.0,0.37,True,HIGH,,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2023/12/Milkospray-Lait-Instantanee-500g-1.jpg?fit=600%2C600&ssl=1,False,WOULD_APPLY,https://api.delivap.com/uploads/1786563750007-d854c67d-6726-4dbf-8134-3011efb828d0.webp,,
6a7b92cd0d97848094f62bf7,حليب موندور 500 غ,"350,00",,500g,41465,MONT D&#8217;OR Gout à L’édam 500G,29000,500g,1.0,1.0,0.26,True,HIGH,,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2024/12/Remove-bg.ai_1735379593268.png?fit=964%2C1280&ssl=1,True,WOULD_APPLY,,,
6a7b92cd0d97848094f62bf8,حليب لويا 500 غ,"600,00",,500g,7865, Loya Laite 500 G,58000,500g,1.0,1.0,0.314,True,HIGH,,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2024/01/Remove-bg.ai_1704795521489.png?fit=1200%2C1200&ssl=1,True,WOULD_APPLY,https://api.delivap.com/uploads/1786563763403-bb8ec090-1def-424f-a61a-f40b45be7f62.webp,,
6a7b92cd0d97848094f62bfd,قهوة 1001 غولد 250 غ,"330,00",,250g,7751,Café 1001 250 G,25000,250g,0.667,0.667,0.423,True,HIGH,,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2024/01/Remove-bg.ai_1704638400850.png?fit=700%2C700&ssl=1,True,WOULD_APPLY,https://api.delivap.com/uploads/1786563760171-6d834889-86ce-4d97-8e16-9a7e1a7f3398.webp,,
6a7b92cd0d97848094f62bff,قهوة فاميكو 250 غ,"250,00",,250g,7706,Café Famico Exclusive 250 G,25000,250g,1.0,1.0,0.268,True,HIGH,,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2024/01/Remove-bg.ai_1749548594862.png?fit=1080%2C1080&ssl=1,True,WOULD_APPLY,https://api.delivap.com/uploads/1786563757359-cf630d70-7f55-4bfa-99d0-8a65d80b667a.webp,,
6a7b92cd0d97848094f62c00,قهوة 1001 عادي 250 غ,"250,00",,250g,7751,Café 1001 250 G,25000,250g,0.667,0.667,0.423,True,HIGH,,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2024/01/Remove-bg.ai_1704638400850.png?fit=700%2C700&ssl=1,True,WOULD_APPLY,https://api.delivap.com/uploads/1786563753685-f6ce45da-bd12-4b71-9dc3-bb221373a5fc.webp,,
6a7b92cd0d97848094f62c02,حميرة باكمايا 125 غ,"150,00",,125g,8232,Pakmaya Levure 125G,14000,125g,0.667,0.667,0.318,True,HIGH,,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2024/01/Remove-bg.ai_1751798528891.png?fit=1200%2C1190&ssl=1,True,WOULD_APPLY,,,
6a7b92cd0d97848094f62c05,حليب ميلكوسبراي 125 غ,"140,00",,125g,6295, Milkospray Lait 125 G,12500,125g,1.0,1.0,0.37,True,HIGH,,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2023/12/item1060980454.jpg?fit=800%2C800&ssl=1,False,WOULD_APPLY,https://api.delivap.com/uploads/1786563750007-d854c67d-6726-4dbf-8134-3011efb828d0.webp,,
6a7b92cd0d97848094f62c07,طماطم الحارة 800 غ,"310,00",,800g,5981, Avril Tomate Double Concentrée 28% 800 G,31000,800g,0.667,0.667,0.211,True,HIGH,DUP_SOURCE,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2023/12/avril-800g.jpg?fit=800%2C800&ssl=1,False,WOULD_REVIEW,,,
